84,4|3,10;
84,9|5,7;
84,8|5,7;
3|12;
6,7|7,10;
13|5;
14,84|6,7;
15|9;
16,18|7,8;
26,16,24,109|2,3,4,15;
26,16,25,109|2,3,4,15;
42,38|8,15;
37|7;
41,40|6,9;
41,40|5,10;
53,3,192|6,8,30;
210,78|2,6;
79,84|6,6;
80,193|6,25;
80,193|6,25;
84,81|4,8;
82,83,194|3,6,30;
84,195|7,25;
93,85|5,7;
86|10;
87|7;
84,196|6,24;
84,197|8,30;
88|5;
42,38,89|5,7,8;
90,84|6,8;
114,107,52,194|1,1,2,20;
91|8;
92,105,198|2,2,25;
42,38|15,20;
84,93|4,8;
84|9;
94|13;
285,95|6,8;
84,93|5,5;
84,199|4,30;
96,84|6,6;
16,97,24|2,2,5;
98,84|7,8;
84,200|7,19;
84,201|5,22;
99,37|6,8;
100,19|6,9;
92,105,202|2,2,25;
92,105,192|3,3,15;
284,101,203|6,10,20;
84,192|6,24;
89|9;
18,17,84,203|4,4,6,30;
210,84,204|3,7,20;
210,84,205|3,7,22;
84,93|4,5;
84|8;
42,84,38|4,5,10;
92,105|3,3;
107,52|1,3;
84,206|9,20;
82,102,84|2,6,8;
103,84|6,7;
84|6;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
325|1;
D
#######################
11,105,92|4,4,6;
10,7|5,10;
27,28|5,5;
107,113,39|1,3,4;
43|5;
45,44,105,92|2,2,3,6;
82,54|2,5;
105,55,92|2,5,5;
210,78|5,6;
26,117,109|4,5,20;
105,92,207|3,6,20;
108,144|3,6;
145,80|6,6;
107,113,82,208|1,3,4,14;
105,82,92,171|2,4,5,15;
105,92|2,8;
105,92,209|2,5,17;
118,37|4,7;
105,92,210|2,4,8;
210,84|6,8;
105,92|3,4;
146|8;
119|5;
105,92,75|2,5,7;
107,113,137|1,4,5;
37|8;
105,92,211|1,4,18;
212,213,210|4,5,10;
120,78,210|5,6,12;
210,84|8,8;
13|10;
105,92|2,6;
105,92,214|2,4,19;
82,38,203|4,6,24;
84|9;
121,3|4,10;
105,52,215|1,3,18;
147|8;
82,216|5,15;
217|18;
93,218|5,8;
179|10;
15,122|8,20;
219|13;
26,138,123,109|2,2,3,10;
105,92|2,6;
105,92,220|2,3,14;
76,75|2,8;
84|10;
105,114,52,221|1,2,3,14;
105,92,222|2,5,17;
223|18;
52,15|2,8;
148|7;
78,210|4,15;
105,92,149,93|1,2,4,4;
163|6;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
325|2;
C
#######################
12|13;
74,32,105,92|2,4,5,9;
23,22,21,20,192,19,18,17|1,2,2,2,4,4,4,4;
46,47,37,224|2,2,8,25;
74,56,58,57,82|1,1,2,2,3;
59,60|2,3;
107,139,113|1,5,5;
124,125,105,52|2,2,3,6;
76,225,75|3,5,20;
126,226|4,28;
107,113,228|2,5,16;
105,30,234|3,5,19;
78,235,355|6,15,60;
78,235|6,20;
107,113,82,236|2,3,5,18;
13|12;
26,109|5,25;
140,105,92|5,6,8;
238,37,237|4,8,19;
150|9;
105,151,92|4,7,9;
105,92,239|4,8,21;
105,108,92|3,6,8;
105,92,82,240|3,5,8,20;
105,92,241|4,7,19;
127,128,26,109|2,2,5,20;
141,105,92|3,5,8;
129,94|4,30;
152|10;
57,58,46,124|1,1,1,2;
242,105,92|3,4,8;
130|5;
105,52,77|3,7,14;
105,92,243|5,8,20;
26,109|5,24;
153,37|6,10;
131,114|4,5;
105,92,244|5,10,19;
105,92,245|6,10,17;
105,92,246|5,9,20;
105,52,108,192|3,8,12,15;
105,52,192|4,8,25;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
325|3;
B
#######################
247,13|20,50;
29,15|6,30;
30,17,18,19|10,30,30,30;
107,48,52|5,5,21;
49,13|5,40;
61,62|4,20;
63,179|5,30;
65,64,26|2,3,30;
105,92,248|11,23,27;
105,52,249|10,23,67;
154|17;
184,185|13,18;
105,92,250|11,24,28;
105,52,248|10,22,27;
251,78|26,40;
107,113,252|4,12,25;
161|11;
82,253,3|20,26,40;
254|26;
255,108|24,28;
155|9;
156|10;
92,256|21,26;
257|27;
142,114|4,8;
247|21;
132|5;
133,105,82,92|4,10,14,17;
258|24;
259|26;
134,76,75|4,15,40;
260|27;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
325|4;
A
#######################
31,74,107,30|4,8,10,20;
35,30,28,27,26,19,18,17,12|4,7,12,12,12,13,13,13,14;
33|5;
50,107,52|4,10,23;
66,67,144|2,3,20;
68,74,107,113|4,8,10,16;
69,145,80|4,21,30;
74,107,113,261|8,10,23,30;
143,157|4,20;
74,107,113,262|8,10,24,30;
31,74,107,30,263|4,8,10,20,30;
74,107,113,264|8,10,20,30;
74,107,113,265|8,10,21,30;
107,266|11,29;
76,40|30,70;
74,107,269,113,267|8,10,15,20,30;
74,107,113,268|8,10,23,32;
74,107,190,187,188,113|8,10,10,11,12,20;
135,158|5,13;
74,107,269,113|8,10,15,23;
107,113,270|10,21,30;
107,271,272,113|10,16,17,20;
105,92,273,82|10,10,20,30,30;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
325|6;
S
#######################
34,107,26,109|6,10,30,30;
36,74,107,35|6,10,15,30;
51,74|5,15;
70,74|6,15;
71,74,107,30,274|5,10,13,27,29;
72,107,30,275|5,10,30,30;
73,74,107|4,13,17;
107,276,269|14,30,40;
107,277,269|15,32,40;
136,145|6,40;
107,74,278,30|10,15,30,40;
159|5;
107,279,30,76|10,28,29,29;
160|14;
74,280|15,30;
34,26,109,93|5,20,25,40;
107,113,281|17,30,30;
164,107,113|5,13,23;
107,74,282,30|10,11,20,30;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
325|8;
SS
