1,1|116,347|116,347,354|116,347|30|10;
1,1|229,348|229,348,354|229,348|20|10;
1,1|230,349|230,349|230,349,354|20|10;
2,4|4,163,168,218|12,152,161,326|156,157|5|1;
2,3|12,152,161|4,163,168,218|156,157|15|5;
2,3|156,157|159,166|12,152,161,4,163,168,218|30|5;
2,4|3,84|27,28,213,196|212,330|15|5;
2,3|330,3,84,27,28|196,213|255,260|30|5;
2,3|330,255,260,271,272|27,28,272|3,84,276|15|5;
1,1|340,340|286,227,324|346,350,114,354|30|10;
1,2|340,350|286,227,324|346,114,354|30|10;
2,2|350,350|286,227,324|346,114,354|30|10;
2,3|326,327,328,329,330,331,332,333,334,335,336,337,339,341,342,343|344,345|344,345|10|10;
Min drops,Max drops|Common drop 1,Common drop 2|Rare drop 1,Rare drop 2|Very rare drop 1,Very rare drop 2|Rare chance|Very rare chance
,|,|,|,||
